EndNodes_1,EndNodes_2,Length,Diameter
510,508,155,32
511,510,259,11
512,510,666,29
513,512,518,20
514,513,30,15
515,513,873,15
516,515,200,12
517,515,296,12
518,512,155,28
519,518,200,10
520,519,355,12.5
521,520,141,12
522,518,155,28
523,522,259,27.5
524,523,382,28
525,522,1273,17
526,525,229,14
527,525,382,13
528,503,725,31
529,528,770,16
530,529,155,11
531,528,289,34
532,531,382,29
533,531,170,30
534,533,118,13
535,533,511,30
536,535,444,30
537,535,141,12
538,537,59,10
539,537,96,11
540,536,44,12
541,536,382,29
542,618,577,14.5
543,542,382,12
544,542,126,10
545,617,170,28
546,545,111,16.5
547,545,133,32
548,547,577,23
549,547,370,28
550,548,111,10
551,550,148,9
552,551,414,9
553,548,333,24
554,553,126,19
555,554,666,10
556,553,444,24
557,549,266,20
558,557,185,18.5
559,549,444,32
560,559,22,18
561,560,81,18
562,561,385,13.5
563,561,955,11
564,556,22,23
565,616,382,28
566,565,133,26
567,566,148,26
568,567,296,21
569,568,281,21
570,569,259,15
571,615,382,22.5
572,571,178,15
573,571,385,20
574,572,382,15
575,573,67,16
576,575,259,15
577,576,148,11
578,614,533,16
579,578,533,15
580,613,222,32
581,580,777,27
582,580,385,23.5
583,582,355,23
584,583,829,19
585,584,207,12
586,587,155,11
587,585,30,11
588,581,703,12.5
589,581,170,23
590,589,289,20
591,590,148,16.5
592,589,252,16
593,592,259,15
594,612,382,28
595,594,770,15.5
596,595,281,13
597,596,185,12
598,594,407,21
599,598,355,17.5
600,599,237,9.5
601,599,259,10
602,598,340,19
603,602,382,14
604,307,30,65
605,609,348.9,20
606,610,348.9,15
608,422,348.9,18
609,261,555,16
609,272,755,16
610,558,289,13
610,562,148,10
611,470,555,10
620,523,326,14
621,519,96,9.5
622,540,81,11
623,511,585,9
642,295,348.9,14
643,284,429,11.5
644,283,237,14
645,259,348.9,10
646,258,348.9,12
647,257,348.9,11.5
648,254,348.9,15
649,248,348.9,14
650,241,259,12.5
651,193,259,25
652,1,348.9,35
